cell_id,global_cycle_index,discharge_cycle,ambient_temperature,capacity_Ah,soh_pct,n_points,discharge_time_s,V_start,V_end,V_avg,V_min,V_max,I_abs_avg,I_discharge_avg,T_start,T_avg,T_max,T_rise,cumQ_calc_Ah,V_10s,V_30s,V_60s,V_120s,T_60s,T_120s,V_drop_10s,V_drop_30s,V_drop_60s,V_drop_120s,dV_dt_avg,T_rise_60s,T_rise_120s,time_to_3p7V_s,time_to_3p6V_s,time_to_3p5V_s,time_to_3p4V_s,time_to_3p3V_s,health_label,Re_ohm,Rct_ohm,matched_impedance_global_index
B0005,2,1,24.0,1.8564874208181574,92.82437104090788,197,3690.234,4.191491807505295,3.277169976825196,3.5298286688693397,2.612467347907089,4.191491807505295,1.818711710270297,1.8187068372191348,24.330033885570543,32.572328114029,38.98218133148803,14.652147445917485,1.8621974714702128,4.191049199955571,4.039935552388508,3.9457639997092877,3.9008949467294256,24.60873279778574,25.24204330564259,0.0004426075497239168,0.1515562551167866,0.245727807796007,0.2905968607758691,-0.000247767981835325,0.27869891221519794,0.9120094200720459,837.016,1351.203,2058.641,2839.937,3092.328,Good,0.04466870036616091,0.06945627304536996,41
B0005,4,2,24.0,1.846327249719927,92.31636248599635,196,3672.344,4.189773213846608,3.3002448871222545,3.5373201277859714,2.587208728940726,4.189773213846608,1.8176438989718113,1.817601874816549,24.697751935729325,32.72523522519307,39.033397966787035,14.33564603105771,1.8520316885698291,4.189238284883371,4.042004680442075,3.9511597044516606,3.9075660159799215,24.961199489500743,25.578123118790078,0.0005349289632370358,0.1477685334045331,0.23861350939494708,0.28220719786668624,-0.0002422235843712771,0.2634475537714174,0.8803711830607526,855.344,1388.141,2115.688,2860.407,3093.532,Good,0.04466870036616091,0.06945627304536996,41
B0005,6,3,24.0,1.8353491942234077,91.76745971117039,195,3651.641,4.188186735991303,3.3274510098686276,3.5437367282719,2.6519168938437794,4.188186735991303,1.8165423469233573,1.8165144444037267,24.734266163954402,32.64286193755933,38.818796689817404,14.084530525863002,1.841021112032899,4.187598299009861,4.042978479918027,3.9526338433705113,3.90951056122106,25.00116678391637,25.615599268886086,0.0005884369814426194,0.1452082560732766,0.23555289262079215,0.27867617477024353,-0.0002357120336097321,0.26690061996196945,0.8813331049316844,855.344,1388.703,2116.094,2860.344,3093.719,Good,0.04466870036616091,0.06945627304536996,41
B0005,8,4,24.0,1.8352625275821128,91.76312637910564,194,3631.563,4.188461118855572,3.314181858907029,3.5436661072601456,2.592947964776547,4.188461118855572,1.8256179748849433,1.8256035843770981,24.65423646922845,32.51487646204882,38.7623045063458,14.108068037117349,1.8408965157333614,4.188038293684724,4.04404973106243,3.95446697460121,3.9117893948927067,24.904945856427496,25.522438217485753,0.00042282517084757387,0.14441138779314144,0.23399414425436182,0.2766717239628651,-0.00024074462151655985,0.2507093871990449,0.8682017482573023,873.328,1388.375,2135.578,2860.907,3074.688,Good,0.04466870036616091,0.06945627304536996,41
B0005,10,5,24.0,1.8346455082120419,91.7322754106021,194,3629.172,4.188298524761055,3.30549673128648,3.5423432526672167,2.547419651124539,4.188298524761055,1.8261478651693803,1.8261309120985694,24.524796959348127,32.38234901543077,38.66539257343368,14.140595614085552,1.8403426146119939,4.187751964630582,4.043520797140476,3.9548913657485967,3.912779791297916,24.775722630740315,25.378568989308746,0.0005465601304726064,0.1447777276205784,0.233407159012458,0.2755187334631386,-0.00024325157183913428,0.2509256713921886,0.85377202996062,873.594,1388.094,2134.516,2859.422,3072.672,Good,0.04466870036616091,0.06945627304536996,41
B0005,12,6,24.0,1.8356616600675495,91.78308300337747,195,3652.281,4.188815807948604,3.302329112973759,3.5413347346347575,2.5209480504077413,4.188815807948604,1.8168998532879652,1.8168553638024225,24.522297376927863,32.43418218230641,38.75169504640032,14.229397669472458,1.841278542565161,4.188291495091163,4.044873519584737,3.9564775670981445,3.9144162427581133,24.77999241100275,25.38568660384256,0.0005243128574408118,0.14394228836386702,0.2323382408504595,0.2743995651904907,-0.0002427213828768501,0.25769503407488514,0.8633892269146983,873.36,1406.656,2134.797,2879.453,3073.875,Good,0.04466870036616091,0.06945627304536996,41
B0005,14,7,24.0,1.8351461429226603,91.75730714613302,195,3650.828,4.18839163793879,3.2937406695499014,3.5410250495075215,2.487927319492314,4.18839163793879,1.8168378953364732,1.816814520021803,24.58487828579781,32.480416444757985,38.8207012322275,14.235822946429689,1.8408060000418103,4.187990948495116,4.044545446955899,3.9576044622418967,3.9158200774017273,24.852921174431344,25.450809839258127,0.000400689443673663,0.14384619098289075,0.23078717569689333,0.27257156053706266,-0.00024505426396118595,0.2680428886335342,0.8659315534603174,891.312,1406.266,2152.656,2878.609,3073.125,Good,0.04466870036616091,0.06945627304536996,41
B0005,16,8,24.0,1.8257567905665537,91.28783952832768,191,3572.453,4.188927891511958,3.3162307407741536,3.554133296801584,2.6652049047458775,4.188927891511958,1.8444082717328028,1.8443747419041046,24.713628799279793,32.41046186109587,38.51713023385634,13.80350143457655,1.831415661931772,4.18838789030709,4.045902996562581,3.9594149954514295,3.9182754739741306,24.978605357110606,25.563995813462277,0.0005400012048681901,0.1430248949493773,0.2295128960605286,0.27065241753782754,-0.00024428513145947743,0.2649765578308134,0.8503670141824848,892.312,1408.109,2155.531,2881.547,3075.875,Good,0.04466870036616091,0.06945627304536996,41
B0005,18,9,24.0,1.8247738529891333,91.23869264945667,190,3550.594,4.189029250882121,3.297410935416153,3.5529355991467955,2.6038584726333673,4.189029250882121,1.854064004450843,1.8540183749782455,24.635211633324694,32.3461408313,38.526267904657,13.891056271332303,1.8304311455415347,4.188084450442155,4.045758409358886,3.959739836060622,3.918327035907743,24.903122329470886,25.49344613100529,0.0009448004399663645,0.14327084152323533,0.229289414821499,0.27070221497437785,-0.0002511180707977222,0.2679106961461919,0.8582344976805949,892.297,1406.984,2153.687,2879.891,3074.391,Good,0.04466870036616091,0.06945627304536996,41
B0005,20,10,24.0,1.824613268496936,91.2306634248468,190,3551.25,4.189223427076418,3.2884044830952868,3.5512057319376997,2.552853984885676,4.189223427076418,1.853658588102974,1.853624260977035,24.572057664095553,32.27679750791685,38.52698128472781,13.954923620632258,1.8302401467277436,4.188904627384983,4.0463290752444765,3.960093001364992,3.9189728459472377,24.82967614643481,25.419393255408423,0.00031879969143489006,0.14289435183194144,0.22913042571142572,0.2702505811291802,-0.0002536624974251689,0.2576184823392573,0.84733559131287,891.86,1407.407,2154.079,2860.719,3074.297,Good,0.04466870036616091,0.06945627304536996,41
