impedance_cycle,discharge_cycle,soh_pct,capacity_ah,Re_ohm,Rct_ohm
1,0,,,0.065158,0.095554
2,1,92.75,1.855,0.063198,0.102295
3,1,92.75,1.855,0.062696,0.091619
4,2,92.16,1.8432,0.062607,0.094685
5,2,92.16,1.8432,0.061378,0.091883
6,3,91.98,1.8396,0.061999,0.09607
7,3,91.98,1.8396,0.061337,0.091412
8,4,91.534,1.8307,0.061434,0.092019
9,8,90.759,1.8152,0.062464,0.087845
10,9,90.215,1.8043,0.059112,0.089898
11,13,89.542,1.7908,0.061055,0.087955
12,14,89.174,1.7835,0.061009,0.087107
13,18,87.682,1.7536,0.060649,0.087549
14,19,87.311,1.7462,0.062195,0.08571
15,23,85.573,1.7115,0.061065,0.088485
16,24,85.375,1.7075,0.059597,0.086841
17,28,85.592,1.7118,0.062871,0.085006
18,29,84.963,1.6993,0.060951,0.085443
19,33,83.276,1.6655,0.06279,0.086111
20,34,82.86,1.6572,0.062054,0.084104
21,38,81.108,1.6222,0.061269,0.087113
22,39,80.7,1.614,0.062706,0.083811
23,43,80.821,1.6164,0.06023,0.087785
24,44,80.545,1.6109,0.061802,0.085163
25,50,83.033,1.6607,0.06336,0.086008
26,55,80.287,1.6057,0.06255,0.084318
27,55,80.287,1.6057,0.060884,0.085225
28,59,79.605,1.5921,0.062319,0.085988
29,60,79.33,1.5866,0.061909,0.084881
30,64,77.01,1.5402,0.063288,0.088473
31,65,76.608,1.5322,0.062442,0.085531
32,69,75.071,1.5014,0.062725,0.090046
33,70,74.818,1.4964,0.063197,0.087201
34,75,74.166,1.4833,0.063329,0.08798
35,79,72.905,1.4581,0.064383,0.091081
36,80,72.393,1.4479,0.063226,0.08763
37,84,71.432,1.4286,0.06276,0.092249
38,85,71.245,1.4249,0.063064,0.088788
39,90,70.773,1.4155,0.065431,0.088426
40,94,70.778,1.4156,0.064035,0.091642
41,95,70.284,1.4057,0.064317,0.086807
42,99,69.468,1.3894,0.065464,0.0925
43,100,68.928,1.3786,0.065453,0.088841
44,104,68.397,1.3679,0.066057,0.090244
45,105,67.836,1.3567,0.065509,0.089572
46,110,70.739,1.4148,0.066025,0.089397
47,114,69.502,1.39,0.065289,0.091392
48,115,69.301,1.386,0.062973,0.087911
49,119,67.949,1.359,0.065169,0.095707
50,120,67.312,1.3462,0.063739,0.091152
51,125,68.509,1.3702,0.065219,0.090349
52,129,68.17,1.3634,0.065905,0.09201
53,130,67.593,1.3519,0.066069,0.088959
