impedance_cycle,discharge_cycle,soh_pct,capacity_ah,Re_ohm,Rct_ohm
1,19,93.379,1.8676,0.061234,0.078542
2,20,98.981,1.9796,0.065617,0.088683
3,20,98.981,1.9796,0.06063,0.078024
4,21,97.877,1.9575,0.062625,0.085337
5,21,97.877,1.9575,0.06086,0.078402
6,22,97.291,1.9458,0.06225,0.084408
7,22,97.291,1.9458,0.060065,0.078071
8,23,96.212,1.9242,0.062201,0.084371
9,23,96.212,1.9242,0.059131,0.077956
10,24,97.299,1.946,0.062074,0.083842
11,24,97.299,1.946,0.060597,0.079382
12,25,95.07,1.9014,0.062006,0.082433
13,25,95.07,1.9014,0.060436,0.079494
14,26,93.934,1.8787,0.062518,0.084138
15,26,93.934,1.8787,0.059882,0.078712
16,27,93.415,1.8683,0.060953,0.082693
17,27,93.415,1.8683,0.060587,0.079895
18,28,92.801,1.856,0.062366,0.083891
19,28,92.801,1.856,0.060908,0.079749
20,29,92.26,1.8452,0.062388,0.084274
21,29,92.26,1.8452,0.060369,0.080145
22,30,92.861,1.8572,0.062091,0.081643
23,31,96.239,1.9248,0.063565,0.081508
24,31,96.239,1.9248,0.06232,0.080212
25,32,94.112,1.8822,0.062942,0.081992
26,32,94.112,1.8822,0.061891,0.081208
27,33,92.764,1.8553,0.062865,0.081447
28,33,92.764,1.8553,0.061716,0.081502
29,34,91.963,1.8393,0.062915,0.082771
30,34,91.963,1.8393,0.061999,0.081388
31,35,90.927,1.8185,0.063078,0.082871
32,35,90.927,1.8185,0.062504,0.081691
33,36,90.674,1.8135,0.0628,0.081847
34,36,90.674,1.8135,0.062014,0.081316
35,37,89.855,1.7971,0.063084,0.082643
36,37,89.855,1.7971,0.06183,0.081204
37,38,89.05,1.781,0.063133,0.083722
38,38,89.05,1.781,0.062827,0.083472
39,39,88.551,1.771,0.063364,0.083798
40,39,88.551,1.771,0.063498,0.083855
41,40,88.024,1.7605,0.062641,0.08299
42,40,88.024,1.7605,0.060945,0.082016
43,41,87.515,1.7503,0.063951,0.083268
44,41,87.515,1.7503,0.063918,0.082166
45,42,86.975,1.7395,0.061914,0.082794
46,42,86.975,1.7395,0.062237,0.082275
47,44,88.297,1.7659,0.063686,0.08411
48,44,88.297,1.7659,0.062031,0.083192
49,45,86.689,1.7338,0.063941,0.084396
50,45,86.689,1.7338,0.062506,0.084268
51,46,85.666,1.7133,0.063341,0.084433
52,46,85.666,1.7133,0.062615,0.083972
53,48,91.186,1.8237,0.065985,0.082059
54,48,91.186,1.8237,0.064572,0.080342
55,49,90.406,1.8081,0.065843,0.082285
56,49,90.406,1.8081,0.063686,0.082364
57,50,88.788,1.7758,0.065863,0.084048
58,50,88.788,1.7758,0.062912,0.082141
59,51,87.237,1.7447,0.064454,0.083727
60,51,87.237,1.7447,0.063667,0.08297
61,52,86.46,1.7292,0.0645,0.084391
62,52,86.46,1.7292,0.064546,0.083906
63,53,85.405,1.7081,0.064622,0.083479
64,53,85.405,1.7081,0.064417,0.083321
65,54,84.88,1.6976,0.065357,0.083723
66,54,84.88,1.6976,0.065174,0.084782
67,55,84.103,1.6821,0.065737,0.086401
68,55,84.103,1.6821,0.063595,0.084185
69,56,83.574,1.6715,0.065696,0.085284
70,56,83.574,1.6715,0.065285,0.08605
71,57,83.038,1.6608,0.066089,0.086974
72,57,83.038,1.6608,0.066534,0.086748
73,58,82.556,1.6511,0.067392,0.086112
74,58,82.556,1.6511,0.066341,0.087206
75,59,82.007,1.6401,0.067146,0.086328
76,59,82.007,1.6401,0.06591,0.087128
77,60,81.46,1.6292,0.066562,0.08763
78,60,81.46,1.6292,0.066056,0.087563
79,61,80.442,1.6088,0.06683,0.08813
80,61,80.442,1.6088,0.065903,0.088209
81,62,80.176,1.6035,0.067123,0.089525
82,62,80.176,1.6035,0.067912,0.088315
83,63,79.949,1.599,0.068048,0.088189
84,63,79.949,1.599,0.066744,0.08858
85,65,79.149,1.583,0.067874,0.089349
86,65,79.149,1.583,0.066413,0.089503
87,66,78.357,1.5671,0.068424,0.090156
88,66,78.357,1.5671,0.066869,0.08981
89,67,78.067,1.5613,0.068264,0.090408
90,67,78.067,1.5613,0.067564,0.090933
91,68,77.559,1.5512,0.067747,0.090156
92,68,77.559,1.5512,0.067679,0.090975
93,69,77.034,1.5407,0.068609,0.090687
94,69,77.034,1.5407,0.067973,0.092324
95,70,76.266,1.5253,0.068566,0.09028
96,70,76.266,1.5253,0.068334,0.092017
97,71,76.508,1.5302,0.068382,0.090971
98,71,76.508,1.5302,0.068851,0.092582
99,72,76.233,1.5247,0.069365,0.091113
100,72,76.233,1.5247,0.069066,0.093491
101,73,75.727,1.5145,0.069813,0.091543
102,73,75.727,1.5145,0.068709,0.093877
103,74,75.47,1.5094,0.069725,0.091616
104,74,75.47,1.5094,0.069526,0.094186
105,75,75.2,1.504,0.06923,0.092337
106,75,75.2,1.504,0.068252,0.09344
107,76,74.676,1.4935,0.068918,0.091494
108,76,74.676,1.4935,0.069603,0.095613
109,78,76.514,1.5303,0.070577,0.092427
110,78,76.514,1.5303,0.069444,0.095087
111,79,75.204,1.5041,0.069836,0.092486
112,79,75.204,1.5041,0.069241,0.095411
113,80,74.438,1.4888,0.0699,0.093436
114,80,74.438,1.4888,0.07018,0.095801
115,81,73.914,1.4783,0.070738,0.094521
116,81,73.914,1.4783,0.070321,0.095302
117,82,73.923,1.4785,0.070842,0.093792
118,82,73.923,1.4785,0.069308,0.094548
119,83,73.661,1.4732,0.071779,0.092339
120,83,73.661,1.4732,0.07066,0.09558
121,84,73.376,1.4675,0.070907,0.092698
122,84,73.376,1.4675,0.070488,0.096375
123,85,72.581,1.4516,0.070185,0.093511
124,85,72.581,1.4516,0.071253,0.096933
125,86,72.596,1.4519,0.071867,0.094652
126,86,72.596,1.4519,0.072909,0.096859
127,87,72.357,1.4471,0.07182,0.094063
128,87,72.357,1.4471,0.07251,0.096602
129,88,72.343,1.4469,0.071775,0.09532
130,88,72.343,1.4469,0.070888,0.097407
131,89,72.084,1.4417,0.070368,0.092743
132,89,72.084,1.4417,0.071415,0.096149
133,90,79.679,1.5936,0.070752,0.090482
134,91,77.32,1.5464,0.070832,0.090666
135,91,77.32,1.5464,0.070304,0.093053
136,92,75.735,1.5147,0.071184,0.092824
137,92,75.735,1.5147,0.071567,0.09367
138,93,74.949,1.499,0.071316,0.092631
139,93,74.949,1.499,0.072351,0.094403
140,94,74.156,1.4831,0.070827,0.092491
141,94,74.156,1.4831,0.070338,0.095071
142,95,73.648,1.473,0.071299,0.093065
143,95,73.648,1.473,0.071483,0.095468
144,96,73.138,1.4628,0.071532,0.093955
145,96,73.138,1.4628,0.071779,0.096789
146,97,72.592,1.4518,0.072105,0.094269
147,97,72.592,1.4518,0.072177,0.097315
148,98,72.343,1.4469,0.07254,0.095116
149,98,72.343,1.4469,0.072758,0.097424
150,99,72.069,1.4414,0.072424,0.094198
151,99,72.069,1.4414,0.071612,0.096183
152,100,71.561,1.4312,0.071773,0.094313
153,100,71.561,1.4312,0.072363,0.098006
154,101,71.301,1.426,0.071973,0.09404
155,101,71.301,1.426,0.072172,0.097544
156,102,71.024,1.4205,0.072185,0.094364
157,102,71.024,1.4205,0.073275,0.098168
158,103,71.035,1.4207,0.072553,0.094
159,104,72.613,1.4523,0.072799,0.093519
160,104,72.613,1.4523,0.073742,0.09682
161,105,71.578,1.4316,0.072306,0.093733
162,105,71.578,1.4316,0.073512,0.097848
163,106,70.751,1.415,0.073148,0.094501
164,106,70.751,1.415,0.073631,0.098721
165,107,70.487,1.4097,0.072587,0.094277
166,107,70.487,1.4097,0.074837,0.098556
167,108,70.246,1.4049,0.072311,0.094374
168,108,70.246,1.4049,0.074229,0.097946
169,109,69.758,1.3952,0.071857,0.093763
170,109,69.758,1.3952,0.073593,0.097943
171,110,69.727,1.3945,0.073555,0.094815
172,110,69.727,1.3945,0.07429,0.097828
173,111,69.466,1.3893,0.073777,0.095508
174,111,69.466,1.3893,0.074362,0.100297
175,112,69.192,1.3838,0.072809,0.094668
176,112,69.192,1.3838,0.073088,0.100286
177,113,68.684,1.3737,0.07424,0.094559
178,113,68.684,1.3737,0.073906,0.100348
179,114,68.93,1.3786,0.073513,0.094559
180,114,68.93,1.3786,0.074065,0.099037
181,115,68.688,1.3738,0.072908,0.095002
182,115,68.688,1.3738,0.074341,0.100679
183,116,68.413,1.3683,0.072764,0.095272
184,116,68.413,1.3683,0.074984,0.100381
185,117,68.165,1.3633,0.072809,0.094175
186,117,68.165,1.3633,0.073634,0.100343
187,118,67.905,1.3581,0.073662,0.094013
188,118,67.905,1.3581,0.074957,0.098675
189,119,67.663,1.3533,0.073005,0.094884
190,119,67.663,1.3533,0.075133,0.099885
191,121,70.257,1.4051,0.074564,0.094655
192,121,70.257,1.4051,0.075928,0.10033
193,122,68.936,1.3787,0.073433,0.094965
194,122,68.936,1.3787,0.075509,0.101161
195,123,68.413,1.3683,0.074017,0.095985
196,123,68.413,1.3683,0.07461,0.101459
197,124,67.866,1.3573,0.073925,0.09597
198,124,67.866,1.3573,0.07488,0.100603
199,125,67.625,1.3525,0.073504,0.09612
200,125,67.625,1.3525,0.075281,0.102545
201,126,67.37,1.3474,0.072642,0.095341
202,126,67.37,1.3474,0.074996,0.101387
203,127,66.85,1.337,0.07312,0.095923
204,127,66.85,1.337,0.076359,0.101432
205,128,66.562,1.3312,0.073528,0.09723
206,128,66.562,1.3312,0.074777,0.102809
207,129,66.297,1.3259,0.073652,0.096239
208,129,66.297,1.3259,0.076011,0.102075
209,130,66.079,1.3216,0.073871,0.096423
210,130,66.079,1.3216,0.076323,0.102432
211,131,66.061,1.3212,0.073572,0.097591
212,131,66.061,1.3212,0.074995,0.102596
213,132,65.782,1.3156,0.074577,0.098333
214,132,65.782,1.3156,0.076559,0.103018
215,135,66.301,1.326,0.073485,0.097215
216,135,66.301,1.326,0.076278,0.102093
217,136,65.506,1.3101,0.072008,0.094672
218,136,65.506,1.3101,0.076281,0.10123
219,137,65.261,1.3052,0.073409,0.096468
220,137,65.261,1.3052,0.075591,0.1017
221,138,65.02,1.3004,0.07369,0.097037
222,138,65.02,1.3004,0.074369,0.101951
223,139,65.012,1.3002,0.072518,0.094656
224,139,65.012,1.3002,0.075549,0.103391
225,140,64.475,1.2895,0.07383,0.097709
226,140,64.475,1.2895,0.075438,0.101902
227,141,63.963,1.2793,0.073296,0.097011
228,141,63.963,1.2793,0.075283,0.102128
229,142,63.96,1.2792,0.073587,0.09847
230,142,63.96,1.2792,0.075043,0.102348
231,143,63.702,1.274,0.072998,0.096748
232,143,63.702,1.274,0.074931,0.103165
233,144,63.706,1.2741,0.073177,0.09789
234,144,63.706,1.2741,0.075559,0.101716
235,145,63.188,1.2638,0.073307,0.098672
236,145,63.188,1.2638,0.075291,0.103991
237,146,62.907,1.2581,0.073815,0.099667
238,146,62.907,1.2581,0.076959,0.102781
239,147,62.663,1.2533,0.074917,0.097409
240,147,62.663,1.2533,0.075825,0.104106
241,148,62.662,1.2532,0.073197,0.098638
242,148,62.662,1.2532,0.075912,0.104944
243,149,62.404,1.2481,0.074124,0.098468
244,149,62.404,1.2481,0.076293,0.106471
245,150,62.672,1.2534,0.074449,0.097635
246,151,64.49,1.2898,0.074298,0.097272
247,151,64.49,1.2898,0.075288,0.101313
248,152,63.177,1.2635,0.073264,0.094858
249,152,63.177,1.2635,0.075251,0.102631
250,153,62.399,1.248,0.072953,0.097092
251,153,62.399,1.248,0.075796,0.103376
252,154,61.606,1.2321,0.0723,0.097269
253,154,61.606,1.2321,0.076343,0.104594
254,155,61.356,1.2271,0.072082,0.096328
255,155,61.356,1.2271,0.075486,0.104157
256,156,61.087,1.2217,0.07402,0.099215
257,156,61.087,1.2217,0.075678,0.104989
258,157,60.555,1.2111,0.074519,0.097222
259,157,60.555,1.2111,0.076397,0.106256
260,158,60.281,1.2056,0.07424,0.098046
261,158,60.281,1.2056,0.075541,0.103252
262,159,60.045,1.2009,0.075127,0.097602
263,159,60.045,1.2009,0.077586,0.104731
264,160,59.53,1.1906,0.073003,0.099861
265,160,59.53,1.1906,0.079141,0.104106
266,161,59.259,1.1852,0.073379,0.100124
267,161,59.259,1.1852,0.077035,0.104303
268,162,58.984,1.1797,0.074006,0.100582
269,162,58.984,1.1797,0.075587,0.10545
270,163,58.73,1.1746,0.074457,0.097718
271,163,58.73,1.1746,0.0768,0.105058
272,164,57.691,1.1538,0.07405,0.100043
273,164,57.691,1.1538,0.077734,0.105526
274,165,58.22,1.1644,0.073454,0.099584
275,165,58.22,1.1644,0.076498,0.106684
276,166,57.94,1.1588,0.074292,0.101458
277,166,57.94,1.1588,0.076934,0.105898
278,168,59.284,1.1857,0.073589,0.099995
